"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","relation","relation.1"
"GSM200695","E9.5 embryo head sample13","GSM200695","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 9.5","Mus musculus","C57Bl/6 embryonic day 9.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200695/suppl/GSM200695.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200695/suppl/GSM200695.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200696","E9.5 embryo head sample 15","GSM200696","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 9.5","Mus musculus","C57Bl/6 embryonic day 9.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200696/suppl/GSM200696.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200696/suppl/GSM200696.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200697","E9.5 embryo head sample 16","GSM200697","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 9.5","Mus musculus","C57Bl/6 embryonic day 9.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200697/suppl/GSM200697.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200697/suppl/GSM200697.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200698","E9.5 embryo head sample 19","GSM200698","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 9.5","Mus musculus","C57Bl/6 embryonic day 9.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200698/suppl/GSM200698.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200698/suppl/GSM200698.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200699","E9.5 embryo head sample 22","GSM200699","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 9.5","Mus musculus","C57Bl/6 embryonic day 9.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200699/suppl/GSM200699.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200699/suppl/GSM200699.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200700","E11.5 embryo head sample 33","GSM200700","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 11.5","Mus musculus","C57Bl/6 embryonic day 11.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200700/suppl/GSM200700.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200700/suppl/GSM200700.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200701","E11.5 embryo head sample 36","GSM200701","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 11.5","Mus musculus","C57Bl/6 embryonic day 11.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200701/suppl/GSM200701.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200701/suppl/GSM200701.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200703","E11.5 embryo head sample 51","GSM200703","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 11.5","Mus musculus","C57Bl/6 embryonic day 11.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200703/suppl/GSM200703.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200703/suppl/GSM200703.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200704","E11.5 embryo head sample 52","GSM200704","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 11.5","Mus musculus","C57Bl/6 embryonic day 11.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","GeneChip® IVT Labeling Kit (one-cycle kit, Affymetrix)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200704/suppl/GSM200704.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200704/suppl/GSM200704.CHP.gz","45101","Reanalyzed by: GSE52542","Reanalyzed by: GSE119085"
"GSM200706","E13.5 embryo head sample B62E6K","GSM200706","Public on May 29 2008","Jun 12 2007","Aug 28 2018","RNA","1","Embryonic tissue at day 13.5","Mus musculus","C57Bl/6 embryonic day 13.5","total RNA","RNeasy Lipid Tissue Mini kit (Qiagen)","Biotin","MessageAmp II-Biotin Enhanced (Ambion, 1791)","10090","Affymetrix Expression protocol","Affymetrix Expression protocol","Analysis of mouse brain proteome and transcriptome rearrangement during early embryonic development","D. Hartl1*, M. Irmler2*, I. Römer1, M. Mader2, L. Mao1, C. Zabel1, M. Hrabé de Angelis2, J. Beckers2, J.  Klose1","RMA","GPL1261","Johannes,,Beckers","johannes.beckers@helmholtz-munich.de","Institute of Experimental Genetics","Helmholtz Zentrum Muenchen","Ingolstaedter Landstr. 1","Neuherberg","85764","Germany","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200706/suppl/GSM200706.CEL.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM200nnn/GSM200706/suppl/GSM200706.CHP.gz","45101","Reanalyzed by: GSE119085",""
